mode,tc,lambda,reward,time,t_size
original,small_112,3,14.0000,0.1174,896670
relaxed,small_112,3,14.0000,0.0442,318816
restricted,small_113,3,18.0000,0.0391,318816
original,small_113,3,18.0000,0.1089,896670
relaxed,small_113,3,18.0000,0.0403,318816
restricted,small_114,3,24.0000,0.0378,318816
original,small_114,3,24.0000,0.1053,896670
relaxed,small_114,3,24.0000,0.0424,318816
restricted,small_115,3,26.0000,0.0465,318816
original,small_115,3,26.0000,0.1228,896670
relaxed,small_115,3,26.0000,0.0463,318816
restricted,small_116,3,16.0000,0.0427,318816
original,small_116,3,16.0000,0.1169,896670
relaxed,small_116,3,16.0000,0.0437,318816
restricted,small_117,3,25.0000,0.0386,318816
original,small_117,3,27.0000,0.1057,896670
relaxed,small_117,3,28.0000,0.0399,318816
restricted,small_118,3,30.0000,0.0429,318816
original,small_118,3,30.0000,0.1191,896670
relaxed,small_118,3,34.0000,0.0469,318816
restricted,small_119,3,29.0000,0.0473,318816
