mode,tc,lambda,reward,time,t_size
original,bigger_80,3,45.0000,615.7332,2642187600
relaxed,bigger_80,3,45.0000,30.6031,122425344
restricted,bigger_81,3,53.0000,27.2843,122425344
original,bigger_81,3,53.0000,606.9352,2642187600
relaxed,bigger_81,3,53.0000,30.4342,122425344
restricted,bigger_82,3,43.0000,25.1317,122425344
original,bigger_82,3,43.0000,548.4801,2642187600
relaxed,bigger_82,3,43.0000,26.8519,122425344
restricted,bigger_83,3,75.0000,32.6857,122425344
original,bigger_83,3,77.0000,732.0252,2642187600
relaxed,bigger_83,3,77.0000,36.9767,122425344
restricted,bigger_84,3,59.0000,28.3472,122425344
original,bigger_84,3,59.0000,634.9402,2642187600
relaxed,bigger_84,3,59.0000,32.3132,122425344
restricted,bigger_85,3,52.0000,24.7559,122425344
original,bigger_85,3,52.0000,543.1987,2642187600
relaxed,bigger_85,3,52.0000,27.4979,122425344
restricted,bigger_86,3,41.0000,29.3537,122425344
original,bigger_86,3,41.0000,659.6407,2642187600
relaxed,bigger_86,3,41.0000,33.6179,122425344
restricted,bigger_87,3,51.0000,28.4173,122425344
original,bigger_87,3,52.0000,643.5609,2642187600
relaxed,bigger_87,3,53.0000,32.2640,122425344
restricted,bigger_88,3,52.0000,27.9891,122425344
original,bigger_88,3,57.0000,719.0830,2642187600
relaxed,bigger_88,3,57.0000,31.4576,122425344
restricted,bigger_89,3,57.0000,28.4450,122425344
original,bigger_89,3,58.0000,629.6953,2642187600
relaxed,bigger_89,3,58.0000,31.5560,122425344
restricted,bigger_90,3,50.0000,25.7526,122425344
original,bigger_90,3,50.0000,573.6880,2642187600
relaxed,bigger_90,3,54.0000,29.4946,122425344
restricted,bigger_91,3,64.0000,29.7126,122425344
original,bigger_91,3,64.0000,662.6201,2642187600
relaxed,bigger_91,3,65.0000,33.4823,122425344
restricted,bigger_92,3,54.0000,26.8473,122425344
original,bigger_92,3,54.0000,594.7307,2642187600
relaxed,bigger_92,3,54.0000,30.2954,122425344
restricted,bigger_93,3,46.0000,25.7823,122425344
original,bigger_93,3,46.0000,570.1179,2642187600
relaxed,bigger_93,3,48.0000,29.0849,122425344
restricted,bigger_94,3,44.0000,28.5015,122425344
original,bigger_94,3,44.0000,630.5735,2642187600
relaxed,bigger_94,3,44.0000,31.4685,122425344
restricted,bigger_95,3,47.0000,30.1556,122425344
original,bigger_95,3,47.0000,669.7134,2642187600
relaxed,bigger_95,3,47.0000,34.0238,122425344
restricted,bigger_96,3,46.0000,28.9530,122425344
original,bigger_96,3,46.0000,644.0496,2642187600
relaxed,bigger_96,3,46.0000,33.0256,122425344
restricted,bigger_97,3,48.0000,23.8333,122425344
original,bigger_97,3,51.0000,528.0306,2642187600
relaxed,bigger_97,3,52.0000,26.4965,122425344
restricted,bigger_98,3,50.0000,27.6023,122425344
original,bigger_98,3,50.0000,598.1845,2642187600
relaxed,bigger_98,3,50.0000,29.3614,122425344
restricted,bigger_99,3,57.0000,32.1461,122425344
original,bigger_99,3,58.0000,722.6062,2642187600
relaxed,bigger_99,3,58.0000,36.8223,122425344
restricted,bigger_100,3,56.0000,27.8715,122425344
original,bigger_100,3,56.0000,615.3637,2642187600
relaxed,bigger_100,3,56.0000,31.1335,122425344
restricted,bigger_101,3,52.0000,26.8021,122425344
original,bigger_101,3,52.0000,588.1759,2642187600
relaxed,bigger_101,3,52.0000,29.6230,122425344
restricted,bigger_102,3,35.0000,31.9757,122425344
original,bigger_102,3,35.0000,652.1440,2642187600
relaxed,bigger_102,3,35.0000,32.7762,122425344
restricted,bigger_103,3,67.0000,31.2027,122425344
original,bigger_103,3,67.0000,698.0542,2642187600
relaxed,bigger_103,3,67.0000,35.4776,122425344
restricted,bigger_104,3,72.0000,31.0508,122425344
original,bigger_104,3,72.0000,688.7192,2642187600
relaxed,bigger_104,3,72.0000,34.3429,122425344
restricted,bigger_105,3,69.0000,31.1738,122425344
original,bigger_105,3,69.0000,689.5670,2642187600
relaxed,bigger_105,3,69.0000,34.2960,122425344
restricted,bigger_106,3,64.0000,26.3230,122425344
original,bigger_106,3,64.0000,579.8001,2642187600
relaxed,bigger_106,3,64.0000,29.3388,122425344
restricted,bigger_107,3,56.0000,28.5059,122425344
original,bigger_107,3,56.0000,632.8031,2642187600
relaxed,bigger_107,3,56.0000,32.5323,122425344
restricted,bigger_108,3,52.0000,29.3172,122425344
original,bigger_108,3,52.0000,653.5056,2642187600
relaxed,bigger_108,3,52.0000,33.1565,122425344
restricted,bigger_109,3,42.0000,28.9744,122425344
original,bigger_109,3,44.0000,645.5547,2642187600
relaxed,bigger_109,3,44.0000,33.1081,122425344
restricted,bigger_110,3,62.0000,28.4054,122425344
original,bigger_110,3,62.0000,621.9963,2642187600
relaxed,bigger_110,3,62.0000,30.7182,122425344
restricted,bigger_111,3,47.0000,25.8088,122425344
original,bigger_111,3,47.0000,572.5901,2642187600
relaxed,bigger_111,3,47.0000,29.3325,122425344
restricted,bigger_112,3,56.0000,28.6588,122425344
original,bigger_112,3,59.0000,634.7532,2642187600
relaxed,bigger_112,3,61.0000,31.5363,122425344
restricted,bigger_113,3,37.0000,27.0664,122425344
original,bigger_113,3,37.0000,592.9397,2642187600
relaxed,bigger_113,3,37.0000,29.8326,122425344
restricted,bigger_114,3,37.0000,28.3856,122425344
original,bigger_114,3,37.0000,629.2344,2642187600
relaxed,bigger_114,3,38.0000,31.4857,122425344
restricted,bigger_115,3,40.0000,28.1662,122425344
original,bigger_115,3,40.0000,628.0692,2642187600
relaxed,bigger_115,3,40.0000,31.6410,122425344
restricted,bigger_116,3,44.0000,27.5097,122425344
original,bigger_116,3,44.0000,611.4383,2642187600
relaxed,bigger_116,3,44.0000,30.8973,122425344
restricted,bigger_117,3,51.0000,29.0241,122425344
original,bigger_117,3,51.0000,644.1556,2642187600
relaxed,bigger_117,3,51.0000,32.4631,122425344
restricted,bigger_118,3,64.0000,27.3569,122425344
original,bigger_118,3,66.0000,603.6962,2642187600
relaxed,bigger_118,3,66.0000,30.0816,122425344
restricted,bigger_119,3,46.0000,24.5066,122425344
original,bigger_119,3,46.0000,537.5315,2642187600
relaxed,bigger_119,3,46.0000,26.7480,122425344
restricted,bigger_120,3,52.0000,30.4205,122425344
original,bigger_120,3,52.0000,669.5167,2642187600
relaxed,bigger_120,3,52.0000,33.9554,122425344
