mode,tc,lambda,reward,time,t_size
original,medium_112,3,17.0000,129.9091,358040331
relaxed,medium_112,3,17.0000,4.0039,9351936
restricted,medium_113,3,24.9100,3.9541,9351936
original,medium_113,3,24.9100,173.3313,358040331
relaxed,medium_113,3,24.9100,5.5325,9351936
restricted,medium_114,3,25.4300,4.1948,9351936
original,medium_114,3,26.0000,181.4368,358040331
relaxed,medium_114,3,26.0000,5.8091,9351936
restricted,medium_115,3,23.0000,3.9942,9351936
original,medium_115,3,25.0000,173.6384,358040331
relaxed,medium_115,3,25.0000,5.5614,9351936
restricted,medium_116,3,37.0000,3.7723,9351936
original,medium_116,3,37.0000,161.2044,358040331
relaxed,medium_116,3,37.0000,5.0747,9351936
restricted,medium_117,3,19.0000,4.3171,9351936
original,medium_117,3,19.0000,187.5397,358040331
relaxed,medium_117,3,19.0000,6.0207,9351936
restricted,medium_118,3,32.0000,3.2859,9351936
original,medium_118,3,36.0000,137.9217,358040331
relaxed,medium_118,3,36.0000,4.2778,9351936
restricted,medium_119,3,34.5300,3.3153,9351936
original,medium_119,3,34.5300,140.8874,358040331
relaxed,medium_119,3,34.5300,4.3908,9351936
restricted,medium_120,3,25.0000,3.9237,9351936
original,medium_120,3,25.0000,168.7781,358040331
relaxed,medium_120,3,25.0000,5.2879,9351936
restricted,big_1,3,41.0000,56.4885,99470592
original,big_1,3,41.0000,1349.0619,2146777425
relaxed,big_1,3,41.0000,75.2817,99470592
restricted,big_2,3,38.0000,53.9330,99470592
original,big_2,3,38.0000,1294.5034,2146777425
relaxed,big_2,3,38.0000,71.2486,99470592
restricted,big_3,3,48.0000,54.3344,99470592
original,big_3,3,48.0000,1295.5634,2146777425
relaxed,big_3,3,48.0000,72.3042,99470592
restricted,big_4,3,58.0600,57.2607,99470592
original,big_4,3,59.0600,1367.5809,2146777425
relaxed,big_4,3,60.0600,76.6323,99470592
restricted,big_5,3,50.0000,45.3896,99470592
original,big_5,3,50.0000,1063.5931,2146777425
relaxed,big_5,3,50.0000,59.3213,99470592
restricted,big_6,3,44.0000,52.1580,99470592
original,big_6,3,47.3100,1254.6772,2146777425
relaxed,big_6,3,47.3100,70.5730,99470592
restricted,big_7,3,30.7900,52.0644,99470592
original,big_7,3,33.0000,1254.7142,2146777425
relaxed,big_7,3,33.0000,71.2813,99470592
restricted,big_8,3,39.0000,59.1611,99470592
original,big_8,3,39.0000,1414.6706,2146777425
relaxed,big_8,3,39.0000,78.7612,99470592
restricted,big_9,3,46.0000,47.0227,99470592
original,big_9,3,48.0000,1119.7605,2146777425
relaxed,big_9,3,48.0000,62.8215,99470592
restricted,big_10,3,38.0000,57.5951,99470592
original,big_10,3,38.0000,1383.9705,2146777425
relaxed,big_10,3,38.0000,78.1043,99470592
restricted,big_11,3,56.0000,50.4372,99470592
original,big_11,3,57.0000,1214.0127,2146777425
relaxed,big_11,3,57.0000,68.0883,99470592
restricted,big_12,3,33.1900,39.2451,99470592
original,big_12,3,33.1900,894.9243,2146777425
relaxed,big_12,3,33.1900,47.6453,99470592
restricted,big_13,3,37.0000,39.0288,99470592
original,big_13,3,37.0000,898.6672,2146777425
relaxed,big_13,3,37.0000,49.2168,99470592
restricted,big_14,3,31.0700,46.6139,99470592
original,big_14,3,31.0700,1084.1466,2146777425
relaxed,big_14,3,31.0700,59.7266,99470592
restricted,big_15,3,56.0000,54.2759,99470592
original,big_15,3,56.0000,1305.5139,2146777425
relaxed,big_15,3,56.0000,73.2139,99470592
restricted,big_16,3,55.0000,57.4433,99470592
original,big_16,3,55.0000,1335.3012,2146777425
relaxed,big_16,3,55.0000,76.3684,99470592
restricted,big_17,3,40.5600,47.1756,99470592
original,big_17,3,40.5600,1090.0257,2146777425
relaxed,big_17,3,40.5600,60.2597,99470592
restricted,big_18,3,40.0000,57.3339,99470592
original,big_18,3,40.0000,1376.0758,2146777425
relaxed,big_18,3,40.0000,77.4482,99470592
restricted,big_19,3,60.0000,49.8801,99470592
original,big_19,3,60.0000,1172.5363,2146777425
relaxed,big_19,3,60.0000,63.8407,99470592
restricted,big_20,3,52.0000,62.6644,99470592
original,big_20,3,54.0000,1513.0634,2146777425
relaxed,big_20,3,54.0000,85.6173,99470592
restricted,big_21,3,46.0000,46.5601,99470592
original,big_21,3,46.0000,1101.6492,2146777425
relaxed,big_21,3,46.0000,60.7273,99470592
restricted,big_22,3,43.0000,48.5719,99470592
original,big_22,3,43.0000,1165.1199,2146777425
relaxed,big_22,3,43.0000,65.2763,99470592
restricted,big_23,3,45.0000,54.8170,99470592
original,big_23,3,45.0000,1313.1310,2146777425
relaxed,big_23,3,45.0000,72.5807,99470592
restricted,big_24,3,47.0000,59.4403,99470592
original,big_24,3,47.0000,1417.0865,2146777425
relaxed,big_24,3,47.0000,80.7109,99470592
restricted,big_25,3,54.0000,49.6119,99470592
original,big_25,3,54.0000,1186.9433,2146777425
relaxed,big_25,3,54.0000,67.2641,99470592
restricted,big_26,3,51.0000,57.7777,99470592
original,big_26,3,51.0000,1371.8133,2146777425
relaxed,big_26,3,51.0000,75.8626,99470592
restricted,big_27,3,43.0000,51.2230,99470592
original,big_27,3,43.0000,1232.8990,2146777425
relaxed,big_27,3,43.0000,70.2948,99470592
restricted,big_28,3,43.0000,54.0599,99470592
original,big_28,3,43.0000,1289.7018,2146777425
relaxed,big_28,3,43.0000,71.0383,99470592
restricted,big_29,3,55.0000,59.5552,99470592
original,big_29,3,58.0000,1419.5893,2146777425
relaxed,big_29,3,58.0000,80.4580,99470592
restricted,big_30,3,52.0000,54.2598,99470592
original,big_30,3,52.0000,1256.0196,2146777425
relaxed,big_30,3,52.0000,69.9586,99470592
restricted,big_31,3,36.0000,50.5179,99470592
original,big_31,3,36.0000,1206.5866,2146777425
relaxed,big_31,3,36.0000,68.3921,99470592
restricted,big_32,3,53.0000,55.3334,99470592
original,big_32,3,53.0000,1317.5683,2146777425
relaxed,big_32,3,53.0000,75.9517,99470592
restricted,big_33,3,41.8700,61.4939,99470592
original,big_33,3,43.3900,1480.9490,2146777425
relaxed,big_33,3,43.3900,83.6119,99470592
restricted,big_34,3,58.0000,45.5304,99470592
original,big_34,3,58.0000,1064.5628,2146777425
relaxed,big_34,3,58.0000,58.8132,99470592
restricted,big_35,3,46.0000,53.8254,99470592
original,big_35,3,48.0000,1301.2436,2146777425
relaxed,big_35,3,48.0000,73.3550,99470592
restricted,big_36,3,47.0000,61.5190,99470592
original,big_36,3,47.0000,1485.0630,2146777425
relaxed,big_36,3,47.0000,83.8828,99470592
restricted,big_37,3,53.2400,57.9339,99470592
original,big_37,3,55.1800,1410.9929,2146777425
relaxed,big_37,3,57.0000,81.0400,99470592
restricted,big_38,3,55.0000,59.3771,99470592
original,big_38,3,57.0000,1427.1986,2146777425
relaxed,big_38,3,57.0000,80.4365,99470592
restricted,big_39,3,44.3000,54.4183,99470592
original,big_39,3,44.3000,1316.7226,2146777425
relaxed,big_39,3,44.3000,73.7364,99470592
restricted,big_40,3,53.0000,62.0840,99470592
original,big_40,3,53.0000,1486.9590,2146777425
relaxed,big_40,3,53.0000,83.0595,99470592
restricted,big_41,3,39.0000,58.7289,99470592
original,big_41,3,39.0000,1406.1341,2146777425
relaxed,big_41,3,39.0000,78.8155,99470592
restricted,big_42,3,38.0000,47.8183,99470592
original,big_42,3,39.0000,1143.9995,2146777425
relaxed,big_42,3,39.0000,63.4111,99470592
restricted,big_43,3,39.0000,53.0889,99470592
original,big_43,3,39.0000,1264.6294,2146777425
relaxed,big_43,3,39.0000,70.9429,99470592
restricted,big_44,3,43.0000,55.6649,99470592
original,big_44,3,43.0000,1326.8898,2146777425
relaxed,big_44,3,43.0000,74.4547,99470592
restricted,big_45,3,50.0800,59.4964,99470592
original,big_45,3,50.0800,1435.4603,2146777425
relaxed,big_45,3,50.0800,81.7047,99470592
restricted,big_46,3,45.0000,47.5932,99470592
original,big_46,3,45.0000,1123.0185,2146777425
relaxed,big_46,3,45.0000,62.7199,99470592
restricted,big_47,3,44.0000,56.3484,99470592
original,big_47,3,45.0000,1364.3919,2146777425
relaxed,big_47,3,46.0000,80.6286,99470592
restricted,big_48,3,51.0000,55.8214,99470592
original,big_48,3,51.0000,1347.3437,2146777425
relaxed,big_48,3,51.0000,75.6042,99470592
restricted,big_49,3,58.0000,55.4163,99470592
original,big_49,3,58.0000,1328.5747,2146777425
relaxed,big_49,3,58.0000,74.5354,99470592
restricted,big_50,3,38.0000,46.5368,99470592
original,big_50,3,38.0000,1080.2221,2146777425
relaxed,big_50,3,38.0000,58.0802,99470592
restricted,big_51,3,47.0000,57.3716,99470592
original,big_51,3,47.0000,1373.1388,2146777425
relaxed,big_51,3,47.0000,77.1871,99470592
restricted,big_52,3,55.0000,52.7849,99470592
original,big_52,3,56.8600,1271.2139,2146777425
relaxed,big_52,3,56.8600,70.5403,99470592
restricted,big_53,3,39.8800,51.2434,99470592
original,big_53,3,40.0000,1212.7512,2146777425
relaxed,big_53,3,40.0000,67.6555,99470592
restricted,big_54,3,42.0000,53.0003,99470592
original,big_54,3,42.0000,1293.3776,2146777425
relaxed,big_54,3,42.0000,72.4796,99470592
restricted,big_55,3,53.5700,45.5782,99470592
original,big_55,3,53.5700,1067.4653,2146777425
relaxed,big_55,3,53.5700,58.7764,99470592
restricted,big_56,3,36.0000,44.7814,99470592
original,big_56,3,36.0000,1055.5452,2146777425
relaxed,big_56,3,36.0000,58.8707,99470592
restricted,big_57,3,36.0000,58.4681,99470592
original,big_57,3,36.0000,1414.9167,2146777425
relaxed,big_57,3,36.0000,80.0003,99470592
restricted,big_58,3,42.4300,45.7084,99470592
original,big_58,3,42.4300,1076.0937,2146777425
relaxed,big_58,3,42.4300,59.4694,99470592
restricted,big_59,3,45.5800,48.8213,99470592
original,big_59,3,45.5800,1158.9673,2146777425
relaxed,big_59,3,45.5800,65.1292,99470592
restricted,big_60,3,46.0300,48.6314,99470592
original,big_60,3,47.0000,1141.4042,2146777425
relaxed,big_60,3,47.0000,61.6544,99470592
restricted,big_61,3,43.8200,47.0553,99470592
original,big_61,3,43.8200,1108.9047,2146777425
relaxed,big_61,3,43.8200,61.4416,99470592
restricted,big_62,3,41.0000,54.8812,99470592
original,big_62,3,41.0000,1321.8725,2146777425
relaxed,big_62,3,41.0000,74.6572,99470592
restricted,big_63,3,50.0000,48.7784,99470592
original,big_63,3,50.0000,1165.1356,2146777425
relaxed,big_63,3,50.0000,66.2695,99470592
restricted,big_64,3,52.0000,48.0326,99470592
original,big_64,3,52.0000,1132.7403,2146777425
relaxed,big_64,3,52.0000,62.4000,99470592
restricted,big_65,3,46.0000,52.8368,99470592
original,big_65,3,46.0000,1269.1143,2146777425
relaxed,big_65,3,46.0000,71.1319,99470592
restricted,big_66,3,46.0600,60.7983,99470592
original,big_66,3,48.0000,1470.8677,2146777425
relaxed,big_66,3,48.4300,82.3515,99470592
restricted,big_67,3,48.0000,60.3788,99470592
original,big_67,3,48.0000,1460.7783,2146777425
relaxed,big_67,3,48.0000,83.1024,99470592
restricted,big_68,3,43.0000,59.7318,99470592
original,big_68,3,43.0000,1314.9957,2146777425
relaxed,big_68,3,43.0000,78.9899,99470592
restricted,big_69,3,55.0000,64.3896,99470592
original,big_69,3,58.0000,1555.2900,2146777425
relaxed,big_69,3,58.0000,89.1203,99470592
restricted,big_70,3,40.7200,51.8260,99470592
original,big_70,3,40.7200,1251.4348,2146777425
relaxed,big_70,3,40.7200,70.0732,99470592
restricted,big_71,3,46.0000,56.0572,99470592
original,big_71,3,46.0000,1343.2535,2146777425
relaxed,big_71,3,46.0000,75.7457,99470592
restricted,big_72,3,40.0000,54.2219,99470592
original,big_72,3,41.3100,1306.5187,2146777425
relaxed,big_72,3,41.3100,73.3071,99470592
restricted,big_73,3,58.0000,54.9179,99470592
original,big_73,3,61.0000,1325.0689,2146777425
relaxed,big_73,3,61.9500,72.5838,99470592
restricted,big_74,3,61.0000,50.2519,99470592
original,big_74,3,61.0000,1197.6253,2146777425
relaxed,big_74,3,61.0000,66.8595,99470592
restricted,big_75,3,41.0000,43.1160,99470592
original,big_75,3,41.0000,1012.1293,2146777425
relaxed,big_75,3,41.0000,56.0081,99470592
restricted,big_76,3,44.0000,42.6967,99470592
original,big_76,3,44.0000,996.0035,2146777425
relaxed,big_76,3,44.0000,54.4049,99470592
restricted,big_77,3,35.8900,58.8627,99470592
original,big_77,3,38.0000,1418.4341,2146777425
relaxed,big_77,3,38.0000,79.7089,99470592
restricted,big_78,3,52.0000,61.9381,99470592
original,big_78,3,52.0000,1485.2591,2146777425
relaxed,big_78,3,52.0000,84.3638,99470592
restricted,big_79,3,47.0000,60.1500,99470592
original,big_79,3,47.0000,1444.1344,2146777425
relaxed,big_79,3,47.0000,80.5836,99470592
restricted,big_80,3,45.0000,54.6602,99470592
original,big_80,3,45.0000,1296.0335,2146777425
relaxed,big_80,3,45.0000,71.4962,99470592
restricted,big_81,3,46.0000,53.3287,99470592
original,big_81,3,46.0000,1271.9034,2146777425
relaxed,big_81,3,46.0000,70.8961,99470592
restricted,big_82,3,43.0000,41.4405,99470592
original,big_82,3,43.0000,980.6496,2146777425
relaxed,big_82,3,43.0000,51.7626,99470592
restricted,big_83,3,66.0000,64.3395,99470592
original,big_83,3,67.7400,1551.2997,2146777425
relaxed,big_83,3,67.7400,87.5569,99470592
restricted,big_84,3,53.6100,59.1726,99470592
original,big_84,3,53.6100,1425.9765,2146777425
relaxed,big_84,3,53.6100,80.2101,99470592
restricted,big_85,3,42.0000,43.9599,99470592
original,big_85,3,42.0000,1032.5936,2146777425
relaxed,big_85,3,42.0000,58.2125,99470592
restricted,big_86,3,38.6300,58.6365,99470592
original,big_86,3,38.6300,1428.7408,2146777425
relaxed,big_86,3,38.6300,81.1064,99470592
restricted,big_87,3,50.0000,61.9003,99470592
original,big_87,3,50.9800,1492.8162,2146777425
relaxed,big_87,3,50.9800,84.8859,99470592
restricted,big_88,3,49.0000,57.4384,99470592
original,big_88,3,53.2000,1382.0458,2146777425
relaxed,big_88,3,55.0000,77.5492,99470592
restricted,big_89,3,49.0000,49.7834,99470592
original,big_89,3,49.0000,1173.5996,2146777425
relaxed,big_89,3,49.0000,64.9553,99470592
restricted,big_90,3,45.0000,55.3423,99470592
original,big_90,3,48.0000,1319.2622,2146777425
relaxed,big_90,3,50.0000,77.4439,99470592
restricted,big_91,3,63.3300,58.3748,99470592
original,big_91,3,64.3300,1396.3318,2146777425
relaxed,big_91,3,65.0000,78.6952,99470592
restricted,big_92,3,54.0000,50.5343,99470592
original,big_92,3,54.0000,1207.3549,2146777425
relaxed,big_92,3,54.0000,68.6575,99470592
restricted,big_93,3,46.0000,50.8863,99470592
original,big_93,3,46.0000,1211.7290,2146777425
relaxed,big_93,3,48.0000,68.9178,99470592
restricted,big_94,3,41.0200,54.1338,99470592
original,big_94,3,41.3700,1304.0513,2146777425
relaxed,big_94,3,41.3700,72.0260,99470592
restricted,big_95,3,41.5800,64.0759,99470592
original,big_95,3,41.5800,1541.6659,2146777425
relaxed,big_95,3,41.5800,88.0902,99470592
restricted,big_96,3,40.0000,56.7712,99470592
original,big_96,3,40.0000,1387.5606,2146777425
relaxed,big_96,3,40.0000,77.9553,99470592
restricted,big_97,3,43.0000,41.5259,99470592
original,big_97,3,45.0000,997.0164,2146777425
relaxed,big_97,3,45.0000,54.8431,99470592
restricted,big_98,3,45.0000,44.7668,99470592
original,big_98,3,45.0000,1016.4304,2146777425
relaxed,big_98,3,45.0000,54.6797,99470592
restricted,big_99,3,50.0000,64.2334,99470592
original,big_99,3,50.0000,1567.1341,2146777425
relaxed,big_99,3,50.0000,88.1129,99470592
restricted,big_100,3,49.0000,53.1872,99470592
original,big_100,3,49.0000,1270.0029,2146777425
relaxed,big_100,3,49.0000,70.5807,99470592
restricted,big_101,3,44.0000,45.7289,99470592
original,big_101,3,44.0000,1080.6452,2146777425
relaxed,big_101,3,44.0000,59.9976,99470592
restricted,big_102,3,32.6900,53.8027,99470592
original,big_102,3,32.6900,1287.3587,2146777425
relaxed,big_102,3,32.6900,72.6200,99470592
restricted,big_103,3,66.0000,65.5480,99470592
original,big_103,3,66.0000,1618.1096,2146777425
relaxed,big_103,3,66.0000,88.6328,99470592
restricted,big_104,3,59.0000,56.2584,99470592
original,big_104,3,60.0000,1348.6022,2146777425
relaxed,big_104,3,60.0000,74.0802,99470592
restricted,big_105,3,59.3100,59.0207,99470592
original,big_105,3,59.3100,1407.2917,2146777425
relaxed,big_105,3,59.3100,78.6483,99470592
restricted,big_106,3,54.5600,53.5924,99470592
original,big_106,3,54.5600,1269.5031,2146777425
relaxed,big_106,3,54.5600,71.4277,99470592
restricted,big_107,3,46.0000,51.4253,99470592
original,big_107,3,46.0000,1260.5801,2146777425
relaxed,big_107,3,46.0000,70.1501,99470592
restricted,big_108,3,42.0000,60.4838,99470592
original,big_108,3,42.0000,1449.2309,2146777425
relaxed,big_108,3,42.0000,81.5128,99470592
restricted,big_109,3,42.3900,58.3815,99470592
original,big_109,3,44.3900,1425.2651,2146777425
relaxed,big_109,3,44.3900,80.5932,99470592
restricted,big_110,3,50.0000,50.0547,99470592
original,big_110,3,50.0000,1170.4734,2146777425
relaxed,big_110,3,50.0000,64.2226,99470592
restricted,big_111,3,41.0000,52.0255,99470592
original,big_111,3,41.0000,1110.4883,2146777425
relaxed,big_111,3,41.0000,67.7411,99470592
restricted,big_112,3,52.0000,52.5100,99470592
original,big_112,3,54.2300,1258.5181,2146777425
relaxed,big_112,3,55.0000,69.8014,99470592
restricted,big_113,3,36.9100,50.0883,99470592
original,big_113,3,36.9100,1222.7931,2146777425
relaxed,big_113,3,36.9100,66.2112,99470592
restricted,big_114,3,30.0000,53.8489,99470592
original,big_114,3,30.0000,1294.4141,2146777425
relaxed,big_114,3,30.0000,72.1565,99470592
restricted,big_115,3,37.0000,56.1001,99470592
original,big_115,3,37.0000,1358.4727,2146777425
relaxed,big_115,3,37.0000,76.2005,99470592
restricted,big_116,3,39.0000,53.7476,99470592
original,big_116,3,39.0000,1282.1879,2146777425
relaxed,big_116,3,39.0000,70.9756,99470592
restricted,big_117,3,50.0000,62.4455,99470592
original,big_117,3,50.0000,1500.0497,2146777425
relaxed,big_117,3,50.0000,84.8636,99470592
restricted,big_118,3,62.0000,48.8010,99470592
original,big_118,3,66.0000,1160.1535,2146777425
relaxed,big_118,3,66.0000,63.1408,99470592
restricted,big_119,3,46.5100,42.8637,99470592
original,big_119,3,46.5100,1013.9440,2146777425
relaxed,big_119,3,46.5100,56.2005,99470592
restricted,big_120,3,50.7700,60.0937,99470592
original,big_120,3,50.7700,1438.1211,2146777425
relaxed,big_120,3,50.7700,81.4013,99470592
restricted,bigger_1,3,46.0000,71.0683,122425344
original,bigger_1,3,46.0000,1687.2886,2642187600
relaxed,bigger_1,3,46.0000,93.1519,122425344
restricted,bigger_2,3,48.0000,66.0123,122425344
original,bigger_2,3,48.0000,1589.3503,2642187600
relaxed,bigger_2,3,48.0000,86.2286,122425344
restricted,bigger_3,3,56.3700,65.7977,122425344
original,bigger_3,3,57.0000,1558.2145,2642187600
relaxed,bigger_3,3,57.0000,87.3381,122425344
restricted,bigger_4,3,64.0000,66.6906,122425344
original,bigger_4,3,65.0000,1587.1645,2642187600
relaxed,bigger_4,3,65.0600,88.2330,122425344
restricted,bigger_5,3,56.0000,60.2696,122425344
original,bigger_5,3,56.0000,1452.3789,2642187600
relaxed,bigger_5,3,56.0000,81.8586,122425344
restricted,bigger_6,3,50.0000,67.7241,122425344
original,bigger_6,3,53.3100,1626.6336,2642187600
relaxed,bigger_6,3,56.3100,92.9150,122425344
restricted,bigger_7,3,42.0900,66.1859,122425344
original,bigger_7,3,43.2200,1598.9026,2642187600
relaxed,bigger_7,3,43.2200,90.4970,122425344
restricted,bigger_8,3,46.0000,73.1855,122425344
original,bigger_8,3,46.0000,1750.2573,2642187600
relaxed,bigger_8,3,46.0000,98.2221,122425344
restricted,bigger_9,3,51.0000,58.9033,122425344
original,bigger_9,3,53.7900,1401.1055,2642187600
relaxed,bigger_9,3,55.0000,79.0157,122425344
restricted,bigger_10,3,42.5600,72.0137,122425344
original,bigger_10,3,42.5600,1732.0757,2642187600
relaxed,bigger_10,3,42.5600,97.6298,122425344
restricted,bigger_11,3,64.0000,62.1277,122425344
original,bigger_11,3,64.0000,1494.7681,2642187600
relaxed,bigger_11,3,64.0000,83.3667,122425344
restricted,bigger_12,3,42.0000,49.0097,122425344
original,bigger_12,3,42.0000,1114.4037,2642187600
relaxed,bigger_12,3,42.0000,59.1768,122425344
restricted,bigger_13,3,37.0000,48.2411,122425344
original,bigger_13,3,37.0000,1116.2198,2642187600
relaxed,bigger_13,3,37.0000,60.7020,122425344
restricted,bigger_14,3,36.0000,63.2330,122425344
original,bigger_14,3,36.0000,1497.7870,2642187600
relaxed,bigger_14,3,36.0000,82.9595,122425344
restricted,bigger_15,3,59.0000,70.3719,122425344
original,bigger_15,3,59.0000,1688.0492,2642187600
relaxed,bigger_15,3,59.0000,94.6875,122425344
restricted,bigger_16,3,57.0000,67.2918,122425344
original,bigger_16,3,57.0000,1630.2028,2642187600
relaxed,bigger_16,3,57.0000,93.9819,122425344
restricted,bigger_17,3,49.0000,61.6990,122425344
original,bigger_17,3,49.0000,1453.8815,2642187600
relaxed,bigger_17,3,49.0000,80.4263,122425344
restricted,bigger_18,3,45.0000,70.5759,122425344
original,bigger_18,3,45.0000,1706.7459,2642187600
relaxed,bigger_18,3,45.0000,95.9175,122425344
restricted,bigger_19,3,63.0000,63.9116,122425344
original,bigger_19,3,63.0000,1511.1819,2642187600
relaxed,bigger_19,3,63.0000,81.7638,122425344
restricted,bigger_20,3,58.0000,77.7649,122425344
original,bigger_20,3,60.0000,1877.7096,2642187600
relaxed,bigger_20,3,60.0000,106.5618,122425344
restricted,bigger_21,3,49.0600,57.7688,122425344
original,bigger_21,3,49.0600,1364.7608,2642187600
relaxed,bigger_21,3,49.0600,75.2481,122425344
restricted,bigger_22,3,51.0000,60.6870,122425344
original,bigger_22,3,51.0000,1443.5195,2642187600
relaxed,bigger_22,3,51.0000,80.8385,122425344
restricted,bigger_23,3,52.0000,70.4090,122425344
original,bigger_23,3,52.0000,1685.5337,2642187600
relaxed,bigger_23,3,52.0000,93.7360,122425344
restricted,bigger_24,3,53.0000,72.5827,122425344
original,bigger_24,3,53.0000,1755.7943,2642187600
relaxed,bigger_24,3,53.0000,99.2894,122425344
restricted,bigger_25,3,58.0000,59.8591,122425344
original,bigger_25,3,58.0000,1422.9499,2642187600
relaxed,bigger_25,3,58.0000,79.9974,122425344
restricted,bigger_26,3,57.0000,76.7926,122425344
original,bigger_26,3,57.6100,1810.4607,2642187600
relaxed,bigger_26,3,57.6100,101.3365,122425344
restricted,bigger_27,3,45.0000,66.4489,122425344
original,bigger_27,3,45.0000,1601.0990,2642187600
relaxed,bigger_27,3,45.0000,91.9105,122425344
restricted,bigger_28,3,54.0000,69.6548,122425344
original,bigger_28,3,54.0000,1657.0519,2642187600
relaxed,bigger_28,3,54.0000,91.4599,122425344
restricted,bigger_29,3,65.0000,74.9985,122425344
original,bigger_29,3,68.0000,1782.9960,2642187600
relaxed,bigger_29,3,68.0000,100.6487,122425344
restricted,bigger_30,3,54.0000,64.5127,122425344
original,bigger_30,3,56.0000,1529.0080,2642187600
relaxed,bigger_30,3,57.0000,85.4020,122425344
restricted,bigger_31,3,40.0000,63.3608,122425344
original,bigger_31,3,40.0000,1512.9470,2642187600
relaxed,bigger_31,3,40.0000,85.8292,122425344
restricted,bigger_32,3,60.0000,66.3549,122425344
original,bigger_32,3,60.8200,1590.1576,2642187600
relaxed,bigger_32,3,60.8200,89.8101,122425344
restricted,bigger_33,3,42.0000,75.5440,122425344
original,bigger_33,3,44.0000,1814.6310,2642187600
relaxed,bigger_33,3,44.0000,102.0537,122425344
restricted,bigger_34,3,68.0000,62.9436,122425344
original,bigger_34,3,68.0000,1489.1418,2642187600
relaxed,bigger_34,3,68.0000,83.7983,122425344
restricted,bigger_35,3,48.0000,67.8623,122425344
original,bigger_35,3,51.0000,1642.1948,2642187600
relaxed,bigger_35,3,51.0000,92.5782,122425344
restricted,bigger_36,3,53.0000,79.6545,122425344
original,bigger_36,3,57.0000,1934.9833,2642187600
relaxed,bigger_36,3,59.0000,108.8803,122425344
restricted,bigger_37,3,57.0000,72.3068,122425344
original,bigger_37,3,60.0000,1763.6278,2642187600
relaxed,bigger_37,3,60.0000,101.4385,122425344
restricted,bigger_38,3,61.9600,75.6344,122425344
original,bigger_38,3,61.9600,1811.9509,2642187600
relaxed,bigger_38,3,61.9600,101.9749,122425344
restricted,bigger_39,3,45.0000,70.3574,122425344
original,bigger_39,3,45.3000,1710.3155,2642187600
relaxed,bigger_39,3,45.3000,96.1307,122425344
restricted,bigger_40,3,62.0000,79.3630,122425344
original,bigger_40,3,62.0000,1914.5291,2642187600
relaxed,bigger_40,3,62.0000,107.2431,122425344
restricted,bigger_41,3,53.0000,75.1577,122425344
original,bigger_41,3,53.0000,1810.6689,2642187600
relaxed,bigger_41,3,53.0000,100.7325,122425344
restricted,bigger_42,3,44.2500,65.0050,122425344
original,bigger_42,3,45.0000,1557.8923,2642187600
relaxed,bigger_42,3,45.0000,86.7363,122425344
restricted,bigger_43,3,39.0000,64.7520,122425344
original,bigger_43,3,39.0000,1538.1607,2642187600
relaxed,bigger_43,3,39.0000,85.7225,122425344
restricted,bigger_44,3,51.0000,72.3739,122425344
original,bigger_44,3,51.0000,1731.6711,2642187600
relaxed,bigger_44,3,51.0000,97.2863,122425344
restricted,bigger_45,3,50.0800,75.2818,122425344
original,bigger_45,3,50.0800,1812.3374,2642187600
relaxed,bigger_45,3,50.0800,102.9504,122425344
restricted,bigger_46,3,48.0000,58.0385,122425344
original,bigger_46,3,48.0000,1357.5074,2642187600
relaxed,bigger_46,3,48.0000,75.7499,122425344
restricted,bigger_47,3,45.0000,69.3415,122425344
original,bigger_47,3,49.0000,1676.8138,2642187600
relaxed,bigger_47,3,49.0000,95.2672,122425344
restricted,bigger_48,3,56.5300,69.3294,122425344
original,bigger_48,3,56.5300,1671.6833,2642187600
relaxed,bigger_48,3,56.5300,94.0502,122425344
restricted,bigger_49,3,64.0000,70.1298,122425344
original,bigger_49,3,67.0000,1701.4992,2642187600
relaxed,bigger_49,3,67.0000,95.7864,122425344
restricted,bigger_50,3,48.0000,59.7126,122425344
original,bigger_50,3,48.0000,1375.0949,2642187600
relaxed,bigger_50,3,48.0000,75.1319,122425344
restricted,bigger_51,3,50.0000,73.3801,122425344
original,bigger_51,3,50.0000,1758.8118,2642187600
relaxed,bigger_51,3,50.0000,98.8391,122425344
restricted,bigger_52,3,57.0000,66.4870,122425344
original,bigger_52,3,57.0000,1597.0207,2642187600
relaxed,bigger_52,3,57.0000,89.2319,122425344
restricted,bigger_53,3,42.0000,62.7046,122425344
original,bigger_53,3,42.8800,1479.5418,2642187600
relaxed,bigger_53,3,42.8800,82.7521,122425344
restricted,bigger_54,3,44.0000,65.8112,122425344
original,bigger_54,3,44.0000,1590.8332,2642187600
relaxed,bigger_54,3,44.0000,90.6641,122425344
restricted,bigger_55,3,60.0000,61.2278,122425344
original,bigger_55,3,60.0000,1442.4886,2642187600
relaxed,bigger_55,3,60.0000,79.9698,122425344
restricted,bigger_56,3,38.9500,57.2281,122425344
original,bigger_56,3,39.0000,1344.9177,2642187600
relaxed,bigger_56,3,39.0000,73.6614,122425344
restricted,bigger_57,3,49.0000,76.2832,122425344
original,bigger_57,3,51.0000,1836.5092,2642187600
relaxed,bigger_57,3,51.0000,104.3284,122425344
restricted,bigger_58,3,45.0000,58.0976,122425344
original,bigger_58,3,45.0000,1363.2189,2642187600
relaxed,bigger_58,3,45.0000,75.1855,122425344
